Film,Year,Awards,Nominations,Decade,Win_Rate
American Dream,1990,1,1,1990,1.0
Journey of Hope (Reise der Hoffnung),1990,1,1,1990,1.0
Days of Waiting,1990,1,1,1990,1.0
Creature Comforts,1990,1,1,1990,1.0
The Lunch Date,1990,1,1,1990,1.0
Misery,1990,1,1,1990,1.0
Driving Miss Daisy,1989,4,9,1980,0.4444444444444444
Glory,1989,3,5,1980,0.6
Born on the Fourth of July,1989,2,8,1980,0.25
My Left Foot,1989,2,5,1980,0.4
The Little Mermaid,1989,2,3,1980,0.6666666666666666
Dead Poets Society,1989,1,4,1980,0.25
The Abyss,1989,1,4,1980,0.25
Indiana Jones and the Last Crusade,1989,1,3,1980,0.3333333333333333
Henry V,1989,1,3,1980,0.3333333333333333
The Johnstown Flood,1989,1,1,1980,1.0
Common Threads: Stories from the Quilt,1989,1,1,1980,1.0
Cinema Paradiso,1989,1,1,1980,1.0
Work Experience,1989,1,1,1980,1.0
Batman,1989,1,1,1980,1.0
Balance,1989,1,1,1980,1.0
Rain Man,1988,4,8,1980,0.5
Dangerous Liaisons,1988,3,7,1980,0.42857142857142855
Mississippi Burning,1988,1,7,1980,0.14285714285714285
Working Girl,1988,1,6,1980,0.16666666666666666
The Accidental Tourist,1988,1,4,1980,0.25
A Fish Called Wanda,1988,1,3,1980,0.3333333333333333
Pelle the Conqueror (Pelle erobreren),1988,1,2,1980,0.5
The Accused,1988,1,1,1980,1.0
The Appointments of Dennis Jennings,1988,1,1,1980,1.0
Beetlejuice,1988,1,1,1980,1.0
Bird,1988,1,1,1980,1.0
Hôtel Terminus: The Life and Times of Klaus Barbie,1988,1,1,1980,1.0
The Milagro Beanfield War,1988,1,1,1980,1.0
Tin Toy,1988,1,1,1980,1.0
You Don't Have to Die,1988,1,1,1980,1.0
The Last Emperor,1987,9,9,1980,1.0
Moonstruck,1987,3,6,1980,0.5
The Untouchables,1987,1,4,1980,0.25
Babette's Feast (Babettes gæstebud),1987,1,1,1980,1.0
Dirty Dancing,1987,1,1,1980,1.0
Harry and the Hendersons,1987,1,1,1980,1.0
Innerspace,1987,1,1,1980,1.0
The Man Who Planted Trees (L' Homme qui plantait des arbres),1987,1,1,1980,1.0
Ray's Male Heterosexual Dance Hall,1987,1,1,1980,1.0
The Ten-Year Lunch,1987,1,1,1980,1.0
Wall Street,1987,1,1,1980,1.0
Young at Heart,1987,1,1,1980,1.0
Platoon,1986,4,8,1980,0.5
A Room with a View,1986,3,8,1980,0.375
Hannah and Her Sisters,1986,3,7,1980,0.42857142857142855
Aliens,1986,2,7,1980,0.2857142857142857
The Mission,1986,1,7,1980,0.14285714285714285
Children of a Lesser God,1986,1,5,1980,0.2
The Color of Money,1986,1,4,1980,0.25
Top Gun,1986,1,4,1980,0.25
Round Midnight,1986,1,2,1980,0.5
Artie Shaw: Time Is All You've Got,1986,1,1,1980,1.0
The Assault (De Aanslag),1986,1,1,1980,1.0
Down and Out in America,1986,1,1,1980,1.0
The Fly,1986,1,1,1980,1.0
A Greek Tragedy,1986,1,1,1980,1.0
Precious Images,1986,1,1,1980,1.0
"Women – for America, for the World",1986,1,1,1980,1.0
Out of Africa,1985,7,11,1980,0.6363636363636364
Witness,1985,2,8,1980,0.25
Cocoon,1985,2,2,1980,1.0
Prizzi's Honor,1985,1,8,1980,0.125
Back to the Future,1985,1,4,1980,0.25
Kiss of the Spider Woman,1985,1,4,1980,0.25
Ran,1985,1,4,1980,0.25
The Official Story (La Historia Oficial),1985,1,2,1980,0.5
The Trip to Bountiful,1985,1,2,1980,0.5
White Nights,1985,1,2,1980,0.5
Anna & Bella,1985,1,1,1980,1.0
Broken Rainbow,1985,1,1,1980,1.0
Mask,1985,1,1,1980,1.0
Molly's Pilgrim,1985,1,1,1980,1.0
Witness to War: Dr. Charlie Clements,1985,1,1,1980,1.0
Amadeus,1984,8,11,1980,0.7272727272727273
